"","X","Country","code","infect","nofood","cancer","pop","gdppc","cancerpop","infectpop","nofoodpop","cancer.r.val","infect.r.value","nofood.r.value","gdppcc","infectpopc","cancerpopc","nofoodpopc"
"155",155,"Tunisia",788,1.199943562,0.049910968,7.119941169,10635.245,4141.99606,0.000669467,0.000112827,4.69e-06,NA,NA,NA,"MediumHigh","Low","Medium","Low"
"156",156,"Turkey",792,5.319954965,0.665895551,90.43946994,72326.992,10672.0439,0.001250425,7.36e-05,9.21e-06,NA,NA,NA,"MediumHigh","Low","Medium","Medium"
"157",157,"Turkmenistan",795,2.442602855,0.027391116,4.164881439,5087.211,4439.200382,0.000818696,0.000480146,5.38e-06,NA,NA,NA,"MediumHigh","Medium","Medium","Low"
"158",158,"Uganda",800,131.0226103,7.849363291,21.67959612,32428.164,606.9766601,0.000668542,0.004040396,0.000242054,NA,NA,NA,"Low","High","Medium","High"
"159",159,"Ukraine",804,26.34680646,0.124542944,97.48124989,45792.086,2970.217789,0.002128779,0.000575357,2.72e-06,NA,NA,NA,"MediumLow","Medium","High","Low"
"160",160,"United Arab Emirates",784,0.275106317,0.031787951,1.108086709,8549.998,33893.31689,0.000129601,3.22e-05,3.72e-06,NA,NA,NA,"High","Low","Low","Low"
"161",161,"Uruguay",858,0.825257183,0.16821426,8.170353725,3359.273,11992.03895,0.002432179,0.000245665,5.01e-05,NA,NA,NA,"MediumHigh","Medium","High","Medium"
"162",162,"Uzbekistan",860,6.705537333,0.208406976,11.39273582,28515.908,1645.013334,0.000399522,0.000235151,7.31e-06,NA,NA,NA,"MediumLow","Medium","Low","Medium"
"163",163,"Vanuatu",548,0.110865713,0.007274647,0.16325597,236.216,2966.856095,0.00069113,0.00046934,3.08e-05,NA,NA,NA,"MediumLow","Medium","Medium","Medium"
"164",164,"Viet Nam",704,40.03500228,0.205172507,87.12151535,87967.655,1317.890709,0.000990381,0.00045511,2.33e-06,NA,NA,NA,"MediumLow","Medium","Medium","Low"
"165",165,"Yemen",887,15.35203613,0.433794194,8.376462276,23154.854,1334.784943,0.000361758,0.000663016,1.87e-05,NA,NA,NA,"MediumLow","Medium","Low","Medium"
"166",166,"Zambia",894,58.70885592,4.318164441,6.947765671,13605.986,1489.447621,0.00051064,0.004314928,0.000317372,NA,NA,NA,"MediumLow","High","Low","High"
"167",167,"Zimbabwe",716,77.31271382,4.75785537,7.792863193,12697.728,948.3318526,0.000613721,0.006088705,0.000374701,NA,NA,NA,"Low","High","Medium","High"
