"","code","Country","infect","nofood","cancer","pop"
"1",4,"Afghanistan","43.655290279900001","0.79384842973900005","16.198828034000002","29185.510999999999"
"2",8,"Albania","0.141454529828","0.0075416897620000003","4.6996766456900003","2948.029"
"3",12,"Algeria","6.7294128402900002","0.15913758098799999","20.5476792899","35977.451000000001"
"4",24,"Angola","85.046564421699998","9.0560916322399994","7.0414628219599997","23356.246999999999"
"5",28,"Antigua and Barbuda","0.027313457126000001","0.0046685864479999997","0.101892400494","88.03"
"6",31,"Azerbaijan","1.7185634528","0.040338346490000003","8.9040705726400002","9032.4650000000001"
"7",32,"Argentina","14.839116111999999","1.7121665097100001","63.885367200499999","40895.750999999997"
"8",36,"Australia","1.95182524023","0.234880899802","42.507943126100002","22154.687000000002"
"9",40,"Austria","0.43071249212099999","0.044374823110000003","20.307794251400001","8409.9449999999997"
"10",44,"Bahamas","0.21625833890599999","0.0040235138409999999","0.39541385683399999","354.93599999999998"
"11",48,"Bahrain","0.052947295007000003","0.0047876186880000003","0.36269737102100003","1240.864"
"12",50,"Bangladesh","156.93255629199999","10.3297675052","87.630946990400005","147575.43299999999"
"13",51,"Armenia","0.45733719300600001","0.0031834778570000001","7.7691588829100002","2877.3139999999999"
"14",52,"Barbados","0.089051213089999998","0.015214429309000001","0.71010053774899995","282.13099999999997"
"15",56,"Belgium","2.00516872069","0.33513056643400002","28.748970480600001","10938.735000000001"
"16",64,"Bhutan","0.55470794518400002","0.016248815382000001","0.38324764447100002","685.50199999999995"
"17",70,"Bosnia and Herzegovina","0.28425027493999999","0.0080371239010000005","6.6171270632499999","3705.4780000000001"
"18",72,"Botswana","7.2329929538300002","0.101873431631","0.91334238329499995","1987.106"
"19",76,"Brazil","55.224370476200001","10.9266235935","202.058602407","195713.63699999999"
"20",84,"Belize","0.124949771882","0.011060858616000001","0.24077643412499999","322.46499999999997"
"21",90,"Solomon Islands","0.30436687373299998","0.017160761771999999","0.319963742489","527.86099999999999"
"22",96,"Brunei Darussalam","0.031851792624000001","0.0010297187970000001","0.29196050631600001","388.63400000000001"
"23",100,"Bulgaria","0.662203778144","0.045938199020999999","16.987084535299999","7425.0110000000004"
"24",104,"Myanmar","78.490870618900004","2.9021347633699999","48.1048542224","50600.826999999997"
"25",108,"Burundi","29.370777517800001","4.0409664347399996","5.3044439902200002","8675.6059999999998"
"26",112,"Belarus","2.0511963747699999","0.020889320699","20.292027376899998","9420.5759999999991"
"27",116,"Cambodia","14.0095606337","0.56151355582700002","10.862060378500001","14312.205"
"28",120,"Cameroon","81.572560144999997","4.5292474893700003","9.6688292848799993","20341.236000000001"
"29",124,"Canada","4.8954654239900002","0.53783732121899996","72.477409536300001","34147.565999999999"
"30",140,"Central African Republic","29.439026335400001","2.0537005609099999","2.1390206311400002","4386.7650000000003"
"31",144,"Sri Lanka","4.2057210121999997","0.16744308251600001","17.6169663312","20261.738000000001"
"32",148,"Chad","53.865600110899997","4.7758078152300003","4.4482134572199996","11952.134"
"33",152,"Chile","2.1334698579600002","0.76949786504100004","24.2527713783","17062.530999999999"
"34",156,"China","164.510021403","12.8169732051","2186.08766879","1368810.6040000001"
"35",170,"Colombia","9.4144807407000002","2.5776567178000001","45.811481684599997","45222.699000000001"
"36",174,"Comoros","1.19629894671","0.20955071348099999","0.39200093095299998","689.69600000000003"
"37",178,"Congo","12.9137606911","1.2677383873600001","1.5253261767599999","4273.7380000000003"
"38",180,"Democratic Republic of the Congo","277.33617739900001","28.980133927800001","31.2178217829","64563.853000000003"
"39",188,"Costa Rica","0.48033738180000002","0.043249995574999998","4.9725035015400003","4577.3710000000001"
"40",191,"Croatia","0.34519316951000001","0.015689267730000001","13.590260092099999","4328.1629999999996"
"41",192,"Cuba","0.90544639452099995","0.089232799350000003","22.4598256001","11225.833000000001"
"42",196,"Cyprus","0.092330597129000005","0.023199935134","1.6971034252999999","1112.617"
"43",204,"Benin","26.084537584700001","3.2139961938999999","3.1631199703799999","9199.2540000000008"
"44",208,"Denmark","0.91043850874200005","0.18338641123400001","16.437773838999998","5554.8490000000002"
"45",214,"Dominican Republic","6.4654111929500004","0.24884269419400001","8.7525170245399995","9695.1170000000002"
"46",218,"Ecuador","3.4910218846299998","0.93000258468999997","12.423573083599999","15011.114"
"47",222,"El Salvador","1.32969512516","0.34288813572499999","5.7356064118000001","6183.8770000000004"
"48",226,"Equatorial Guinea","3.0047609280000001","0.31669945434899999","0.41768341228599998","943.64"
"49",231,"Ethiopia","218.37534674","21.883884916","41.8160638433","87639.962"
"50",232,"Eritrea","7.9561666392900001","1.3825073912600001","2.22026110947","3170.4369999999999"
"51",233,"Estonia","0.134363630668","0.0061083831490000001","3.6063610604399998","1332.1030000000001"
"52",242,"Fiji","0.241387124615","0.031174202920000001","0.54699982809799996","859.81600000000003"
"53",246,"Finland","0.42456601074400002","0.020120244410000002","11.612145185899999","5365.7839999999997"
"54",250,"France","9.8414806013699998","4.0978591486399996","166.17600947400001","62879.535000000003"
"55",262,"Djibouti","2.1368493557999999","0.27008549319000003","0.46010646488099999","840.19399999999996"
"56",266,"Gabon","6.0040752955599999","0.34059853611699997","0.68545052235399995","1624.146"
"57",268,"Georgia","0.63320416092200005","0.0053838111970000001","6.7384741885099997","4099.0959999999995"
"58",270,"Gambia","4.0841420530399999","0.49208210415800002","0.48349737066300003","1793.1990000000001"
"59",276,"Germany","13.2911333797","1.13599658236","225.81605690699999","80827.001000000004"
"60",288,"Ghana","69.816635794099994","3.9365924318299998","10.0773683855","24779.614000000001"
