"","...5","...43","...53","...63","...68"
"12","Country code","1985","1995","2005","2010"
"13","900","4870921.6660000002","5744212.9299999997","6541906.9560000002","6956823.5880000005"
"14","1803","...","...","...","..."
"15","901","1114763.0020000001","1169481.4739999999","1209215.0360000001","1234767.5160000001"
"16","902","3756158.6639999999","4574731.4560000002","5332691.92","5722056.0719999997"
"17","941","443491.299","579681.70200000005","744190.50899999996","836614.84100000001"
"18","934","3312667.3650000002","3995049.7540000002","4588501.4110000003","4885441.2309999997"
"19","948","2655695.3859999999","3305985.1409999998","3971957.3790000002","4322553.3729999997"
"20","1636","234235.21599999999","298698.47700000001","374684.85800000001","420661.37099999998"
"21","1637","46031.701999999997","53802.264000000003","61044.548000000003","65253.137000000002"
"22","1802","...","...","...","..."
"23","1503","1001046.88","1075966.453","1151594.8759999999","1197095.041"
"24","1517","3561445.875","4261803.6320000002","4860123.8169999998","5153738.1780000003"
"25","1502","1881154.7420000001","2181157.4180000001","2376344.6069999998","2466363.5060000001"
"26","1501","1680291.1329999999","2080646.2139999999","2483779.21","2687374.6719999998"
"27","1500","306762.09399999998","404386.60800000001","527685.61800000002","603339.57900000003"
"28","1518","1666.817","2056.2370000000001","2502.645","2650.79"
"29","1840","...","...","...","..."
"30","903","548626.14","717270.11199999996","916154.28500000003","1039304.03"
"31","935","2921173.21","3493086.9980000001","3977986.452","4209593.7240000004"
"32","908","707584.18599999999","726994.43299999996","729287.88100000005","736412.99800000002"
"33","904","402023.66200000001","483018.22600000002","557500.98100000003","591352.34499999997"
"34","905","266363.42700000003","294453.53200000001","327287.14399999997","343287.42200000002"
"35","909","25151.041000000001","29389.629000000001","33690.213000000003","36873.069000000003"
"36","1828","...","...","...","..."
"37","947","425840.82400000002","560759.47199999995","729733.00300000003","836363.75699999998"
"38","910","169887.49299999999","223934.24400000001","295185.413","339317.85"
"39","108","4750.8320000000003","5987.0439999999999","7364.857","8675.6059999999998"
"40","174","355.33699999999999","475.39400000000001","611.625","689.69600000000003"
"41","262","425.608","630.38499999999999","783.24800000000005","840.19399999999996"
"42","232","2003.942","2204.2269999999999","2826.6529999999998","3170.4369999999999"
"43","231","40652.146000000001","57047.906000000003","76346.31","87639.962"
"44","404","19877.078000000001","27768.296999999999","36624.896999999997","42030.684000000001"
"45","450","10063.493","13475.403","18336.722000000002","21151.64"
"46","454","7268.2709999999997","9844.4179999999997","12625.95","14539.609"
"47","480","1015.764","1128.6759999999999","1222.01","1247.953"
"48","175","72.108000000000004","123.18600000000001","178.10300000000001","208.71600000000001"
"49","508","12764.385","15483.277","20493.927","23531.566999999999"
"50","638","558.70399999999995","673.54300000000001","791.59799999999996","830.50699999999995"
"51","646","6146.884","5836.49","8840.2199999999993","10039.338"
"52","690","69.772000000000006","76.653000000000006","88.652000000000001","91.272999999999996"
"53","706","6648.6279999999997","7491.6469999999999","10446.856","12043.886"
"54","728","5220.7479999999996","5118.0839999999998","7535.9309999999996","9508.3719999999994"
"55","800","14559.357","20413.156999999999","27684.59","32428.164000000001"
"56","834","21633.798999999999","29649.128000000001","38450.322999999997","44346.531999999999"
"57","894","6923.1480000000001","9096.6080000000002","11856.244000000001","13605.986000000001"
"58","716","8877.4889999999996","11410.721","12076.697","12697.727999999999"
"59","911","60890.048000000003","83775.179000000004","112008.24","131622.13099999999"
"60","24","9961.9930000000004","13945.205","19433.603999999999","23356.246999999999"
"61","120","10070.806","13599.984","17733.407999999999","20341.236000000001"
"62","140","2542.17","3222.6619999999998","4038.38","4386.7650000000003"
"63","148","5095.3999999999996","7010.1589999999997","10096.629999999999","11952.134"
"64","178","2054.308","2707.5320000000002","3622.7750000000001","4273.7380000000003"
"65","180","29881.222000000002","41576.239000000001","54785.894","64563.853000000003"
"66","226","352.11599999999999","496.76799999999997","749.52700000000004","943.64"
"67","266","827.10699999999997","1084.951","1390.55","1624.146"
"68","678","104.926","131.679","157.47200000000001","180.37200000000001"
"69","913","37171.819000000003","47358.233999999997","54644.678","58383.366000000002"
"70","72","1069.585","1469.173","1799.077","1987.106"
"71","748","699.077","926.83600000000001","1030.575","1064.8409999999999"
"72","426","1526.1320000000001","1898.598","1996.115","1995.575"
"73","516","1198.1489999999999","1627.866","1938.316","2118.877"
"74","710","32678.876","41435.760999999999","47880.595000000001","51216.966999999997"
"75","914","157891.46400000001","205691.815","267894.67200000002","307040.40999999997"
"76","204","4278.5020000000004","5905.5519999999997","7982.223","9199.2540000000008"
"77","854","7727.9080000000004","10089.879999999999","13421.934999999999","15605.210999999999"
