"Name","ISO3166","...1","Year","CancerDeaths","GDPPC","Pop (thousands)"
"Slovenia",705,118,1995,2815,10683,1991.126
"South Africa",710,119,1995,26650,3741,41435.7609999999
"Spain",724,120,1985,42487,4643,38733.866
"Spain",724,121,1995,66968,15366,39787.413
"Suriname",740,122,1985,126,3221,368.636
"Sweden",752,123,1995,16178,29915,8836.421
"Syrian Arab Republic",760,126,1985,1404,944,10648.633
"Tajikistan",762,127,1995,852,211,4537.82
"Tajikistan",762,128,2005,1109,337,5764.80599999999
"Thailand",764,129,1985,7532,775,52026.9009999999
"Trinidad and Tobago",780,130,1985,1109,6282,1170.296
"Trinidad and Tobago",780,131,1995,1610,4235,1254.2
"Turkmenistan",795,132,1995,609,520,4207.841
"Turks and Caicos Islands",796,133,1985,0,6142,9.974
"Turks and Caicos Islands",796,134,1995,17,12425,16.221
"Ukraine",804,138,1995,10086,990,50903.783
"United States of America",840,140,1985,274950,18017,240499.821999999
"United States of America",840,141,1995,422942,28758,265163.740999999
"Uruguay",858,142,1985,1212,1735,3011.51899999999
"Uruguay",858,143,1995,1770,6609,3224.275
"Uzbekistan",860,144,1995,4006,589,22791.0329999999
